project_outcomes_row_index,project_code,project_outcome_desc,date_extracted
0,150,REDUCE AGED DEBT BY 10% WITHIN 12 MONTHS.,06-Jun-18
1,150,REDUCE AVERAGE AGE OF OVERDUE FEES TO LESS THAN 1 YEAR WITHIN 6 MONTHS.,06-Jun-18
2,150,REDUCE OPERATIONAL COSTS BY 10% BY 2020.,06-Jun-18
